well_id,location_name,latitude,longitude,depth_meters,water_level_meters,measurement_date,quality_ph,quality_tds
W011,Central Park,28.6000,77.2000,50.0,20.5,2023-06-15,7.0,480.3
W012,University Area,28.6300,77.2200,45.5,18.2,2023-06-15,7.2,420.7
W013,Hospital Zone,28.6100,77.1900,52.8,22.1,2023-06-15,6.9,550.1
W014,Shopping Mall,28.6400,77.2100,38.9,15.8,2023-06-15,7.1,390.5
W015,Airport Area,28.5800,77.2500,60.2,25.3,2023-06-15,6.8,620.8
W011,Central Park,28.6000,77.2000,50.0,20.2,2023-07-15,7.1,485.1
W012,University Area,28.6300,77.2200,45.5,17.9,2023-07-15,7.3,425.3
W013,Hospital Zone,28.6100,77.1900,52.8,21.8,2023-07-15,7.0,555.7
W014,Shopping Mall,28.6400,77.2100,38.9,15.5,2023-07-15,7.2,395.2
W015,Airport Area,28.5800,77.2500,60.2,25.0,2023-07-15,6.9,625.4
W016,Metro Station,28.5900,77.1800,48.3,19.7,2023-08-15,7.0,510.2
W017,Government Office,28.6200,77.2300,44.7,17.3,2023-08-15,7.1,445.6
W018,School District,28.6500,77.1600,41.2,14.9,2023-08-15,7.3,375.8
W019,Market Area,28.5700,77.2000,46.8,18.6,2023-08-15,6.9,535.9
W020,Residential Complex,28.6400,77.2400,43.5,16.4,2023-08-15,7.2,410.3
W016,Metro Station,28.5900,77.1800,48.3,19.4,2023-09-15,7.1,515.8
W017,Government Office,28.6200,77.2300,44.7,17.0,2023-09-15,7.2,450.2
W018,School District,28.6500,77.1600,41.2,14.6,2023-09-15,7.4,380.5
W019,Market Area,28.5700,77.2000,46.8,18.3,2023-09-15,7.0,540.6
W020,Residential Complex,28.6400,77.2400,43.5,16.1,2023-09-15,7.3,415.1
